     Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
   1.2,  -19012.99805724,  -19016.21144533, -19012.51200,   -19015.65963,    -0.49982785,  -0.49982785
   1.3,  -19013.04217393,  -19016.25224565,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.4,  -19013.06520316,  -19016.27162290,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.5,  -19013.07496832,  -19016.27775088,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.6,  -19013.07638632,  -19016.27577759,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.7,  -19013.07259207,  -19016.26900045,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.8,  -19013.06560700,  -19016.25956029,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   1.9,  -19013.05674494,  -19016.24885286,    0.0000000,      0.0000000,    0.00000000,    0.00000000
   2.0,  -19013.04686365,  -19016.23779356,    0.0000000,      0.0000000,    0.00000000,    0.00000000

