Z,SCF,CCSD,A_SCF,A_CCSD,B_SCF,B_CCSD
1.5, -19087.21167396, -19090.71375266,  -19012.51200, -19015.65963,   -74.85920120,   -75.09173839
1.6, -19087.28895842, -19090.77896657,   0.0000000,      0.0000000,     0.00000000,     0.00000000
1.7, -19087.33394450, -19090.81140459,   0.0000000,      0.0000000,     0.00000000,     0.00000000
1.8, -19087.35797517, -19090.82459928,   0.0000000,      0.0000000,     0.00000000,     0.00000000
1.9, -19087.36849696, -19090.82676935,   0.0000000,      0.0000000,     0.00000000,     0.00000000
2.0, -19087.37039216, -19090.82278867,   0.0000000,      0.0000000,     0.00000000,     0.00000000
2.1, -19087.36687612, -19090.81553736,   0.0000000,      0.0000000,     0.00000000,     0.00000000
2.2, -19087.36006695, -19090.80675450,   0.0000000,      0.0000000,     0.00000000,     0.00000000



