Z,SCF,CCSD,MO_SCF,MO_CCSD,H_SCF,H_CCSD
1.72,   -4046.795413,   -4047.284482,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
1.82,   -4046.795319,   -4047.282584,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
1.92,   -4046.792164,   -4047.277948,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.02,   -4046.787033,   -4047.271612,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.12,   -4046.780702,   -4047.264305,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.22,   -4046.773704,   -4047.256540,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.32,   -4046.766386,   -4047.248684,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.42,   -4046.758968,   -4047.241007,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785
2.52,   -4046.751587,   -4047.233697,   -4046.255717,   -4046.695980,   -0.49982785,   -0.49982785

