z,UC,MDFSTU,CRENBL,SBKJC,LANL2,ccECP,AE
1.985000,-0.073010,-0.074686,-0.072981,-0.071193,-0.072146,-0.073142,-0.073690
1.935000,-0.075916,-0.077649,-0.075956,-0.073936,-0.075044,-0.076106,-0.076658
1.885000,-0.077944,-0.079752,-0.078070,-0.075772,-0.077063,-0.078206,-0.078745
1.835000,-0.078797,-0.080702,-0.079031,-0.076406,-0.077909,-0.079156,-0.079677
1.785000,-0.078071,-0.080100,-0.078438,-0.075435,-0.077177,-0.078553,-0.079050
1.735000,-0.075217,-0.077397,-0.075749,-0.072311,-0.074319,-0.075855,-0.076317
1.685000,-0.069474,-0.071836,-0.070207,-0.066282,-0.068575,-0.070308,-0.070714
1.635000,-0.059856,-0.062423,-0.060831,-0.056363,-0.058958,-0.060930,-0.061276
1.585000,-0.045145,-0.047913,-0.046384,-0.041324,-0.044229,-0.046482,-0.046754
1.535000,-0.023794,-0.026796,-0.025360,-0.019655,-0.022877,-0.025461,-0.025652
1.485000,0.006019,0.002779,0.004100,0.010500,0.006965,0.003990,0.003844
