     Z,SCF,CCSD
   1.679,   -127.0765420,   -127.8530130
   1.629,   -127.0768614,   -127.8558535
   1.579,   -127.0762705,   -127.8578671
   1.529,   -127.0745863,   -127.8587919
   1.479,   -127.0715793,   -127.8583161
   1.429,   -127.0669519,   -127.8560423
   1.379,   -127.0603094,   -127.8514873
   1.329,   -127.0511277,   -127.8440565
   1.279,   -127.0387189,   -127.8330095
   1.229,   -127.0221920,   -127.8174152
   1.179,   -127.0004017,   -127.7960960
                                                  
