r,ae,UC,CRENBL,LANL2DZ,SBKJC,MDFSTU,cody-stu-mod,ag9
1.1,0.04571099,0.04759799,0.04596197,0.04785109,0.05118538,0.04583643,0.04566264,0.04592556
1.2,-0.01759138,-0.01604021,-0.01729723,-0.01568987,-0.01302192,-0.01758758,-0.01752165,-0.01745594
1.3,-0.05504782,-0.05379734,-0.054726,-0.053372,-0.0513632,-0.05513083,-0.05491712,-0.05498436
1.4,-0.07588833,-0.07491464,-0.07556361,-0.07444433,-0.07301752,-0.0760266,-0.0757347,-0.07588616
1.5,-0.08594247,-0.08520296,-0.08562223,-0.08471553,-0.08377693,-0.08610234,-0.08577858,-0.08597824
1.6,-0.08899573,-0.0884368,-0.08867279,-0.08795809,-0.08740892,-0.08913963,-0.08881971,-0.08903983
1.7,-0.08753999,-0.08712077,-0.08721549,-0.0866667,-0.08642545,-0.08765116,-0.08735549,-0.08757673
1.8,-0.08324282,-0.08293574,-0.08292477,-0.0825148,-0.08251172,-0.08331819,-0.08305683,-0.08326846
1.9,-0.07723656,-0.07702221,-0.07692878,-0.07663757,-0.07681295,-0.07728055,-0.07705643,-0.07725047
2.0,-0.07030087,-0.07016146,-0.07001198,-0.06981745,-0.07012553,-0.0703189,-0.07013419,-0.07030941
