        SCF,CCSD
   -126.40504389,   -127.15595831
   -126.39033756,   -127.15730826
   -126.39148213,   -127.11545416
   -126.30340978,   -127.02333376
   -126.16501805,   -126.84687620
   -126.06372439,   -126.72379060
   -125.51905860,   -126.13545137
   -124.37116252,   -124.93264351
   -122.67294323,   -123.18629785
   -120.43098375,   -120.88915012
    -98.19154039,    -98.50815741
    -69.31565542,    -69.48080666
    -31.84477867,    -31.92452840
                                                  
