                                                  

        SCF,CCSD
   -126.59422080,   -127.33945218
   -126.58581050,   -127.34635831
   -126.58637324,   -127.30377495
   -126.33801964,   -127.21611986
   -126.35868804,   -127.03394204
   -126.26266858,   -126.91655107
   -125.71839626,   -126.32767002
   -124.57650655,   -125.13070501
   -122.88378759,   -123.39000983
   -120.64629281,   -121.09784300
    -98.37101196,    -98.68863570
    -69.54825528,    -69.71158326
    -32.11167186,    -32.18551895
                                                  
